Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
HXD,Hilton Head,CHS,III,Hilton Head Island,SC,Southeast,Surface Region 2,Y
JQF,Concord-Padgett Regional,CLT,III,Concord,NC,Southeast,Surface Region 2,Y
LCK,Rickenbacker International,CMH,III,Columbus,OH,Northeast,Surface Region 3,Y
ELP,El Paso International,ELP,I,El Paso,TX,Western,Surface Region 4,Y
TOL,Eugene F Kranz Toledo Express,CMH,III,Swanton,OH,Northeast,Surface Region 3,Y
COD,Yellowstone Regional,CPR,IV,Cody,WY,Central,Surface Region 4,Y
CPR,Casper/Natrona County International,CPR,III,Casper,WY,Central,Surface Region 4,Y
EUG,Mahlon Sweet Field,PDX,II,Eugene,OR,Western,Surface Region 5,Y
CYS,Cheyenne Regional/Jerry Olson Field,CPR,IV,Cheyenne,WY,Central,Surface Region 4,Y
GCC,Northeast Wyoming Regional,CPR,IV,Gillette,WY,Central,Surface Region 4,Y
LAR,Laramie Regional,CPR,IV,Laramie,WY,Central,Surface Region 4,Y
EWR,Newark Liberty International,EWR,X,Newark,NJ,Northeast,Surface Region 1,Y
EYW,Key West International,FLL,II,Key West,FL,Southeast,Surface Region 2,Y
FAI,Fairbanks International,ANC,II,Fairbanks,AK,Western,Surface Region 5,Y
FAR,Hector International,BIS,II,Fargo,ND,Central,Surface Region 4,Y
FAT,Fresno Yosemite International,SFO,II,Fresno,CA,Western,Surface Region 5,Y
RIW,Central Wyoming Regional,CPR,IV,Riverton,WY,Central,Surface Region 4,Y
RKS,Southwest Wyoming Regional,CPR,IV,Rock Springs,WY,Central,Surface Region 4,Y
FLL,Fort Lauderdale/Hollywood International,FLL,X,Fort Lauderdale,FL,Southeast,Surface Region 2,Y
SHR,Sheridan County,CPR,IV,Sheridan,WY,Central,Surface Region 4,Y
BKW,Raleigh County Memorial,CRW,IV,Beaver,WV,Northeast,Surface Region 2,Y
CKB,North Central West Virginia,CRW,III,Bridgeport,WV,Northeast,Surface Region 2,Y
FNT,Bishop International,DTW,II,Flint,MI,Northeast,Surface Region 3,Y
CRW,West Virginia International Yeager,CRW,III,Charleston,WV,Northeast,Surface Region 2,Y
